,,per.access.to.electricity,per.ag.land,per.arable.land,per.armed.forces.of.pop,tot.threatened.birds,birth.rate.per1000,fisheries.production,co2.emissions.metric.tons,compulsory.edu.years,cpi,current.account.balance,per.health.expenditures.gdp,death.rate.per1000,ease.of.doing.business.score,tot.employers.per.employment,per.employed.ag,per.employed.industry,per.employed.service,exports.per.gdp,fertility.rate.per.woman,broadband.per100,fish.threatened,food.exports.per.all.exports,food.imports.per.all.imports,fdi.per.gdp,forest.per.all.land,gdp.per.capita,gdp.growth,edu.expend.per.gdp,human.capital.index,imports.per.gdp,hiv.per1000,inflation.percentage,tourism.per.all.imports,labor.force.participation.per.tot.pop,land.area.sq.km,life.expectancy.years,methane.emissions.kt,expend.military.per.gdp,cellular.subscriptions.per100,infant.mortality.rate.per1000,aid.usd,no2.emissions.metric.tons,oil.rents.per.gdp,per.open.defecation,per.access.drinking.water,per.basic.sanitation,cropland.per.all.land.area,remittances.per.gdp,plants.threatened,population.density,population.growth,female.pop.per.total,male.pop.per.total,pop.total,per.undernourishment,per.primary.edu.completion,per.rural.pop,tot.surface.area.km2,tax.revenue.per.gdp,protected.area.per.total.terrestrial.area,terrrestrial.protected.area.per.total.land,alcohol.percap.liters,tot.greenhouse.gas.emissions.kt,trade.per.gdp,unemployment.rate,per.urban.pop,urban.pop.growth
"Bahamas, The",BHS,100,1.398601399,0.799200799,0.598568041,10,13.968,10998.69434,5.86046391,12,113.3939999,-8.687421682,5.92999935,6.771,59.38844,5.929999828,2.25999999,14.59000015,83.15000153,36.02408512,1.752,21.05814535,43,16.09648785,19.2276246,3.827795177,50.93506494,33290.02814,2.76704081,2.309520006,,39.55194815,0.31,2.265863467,10.14404269,72.65499878,10010,73.752,230,,100.7960854,11.2,,80,0,0.22319574,98.8869605,94.93058233,0.3996004,,7,38.52497502,1.012800167,51.42505219,48.57494781,385635,,,16.975,13880,14.29897646,8.555106417,36.63364753,4.78,2640,75.57603328,10,83.025,1.133288296
Austria,AUT,100,32.14772176,16.08276781,0.491429343,13,9.7,350,7.146637625,13,116.277887,0.962126078,10.31750679,9.5,78.73995,4.570000172,3.690000057,25.44000053,70.87000275,55.44065438,1.47,28.35552784,11,7.469474913,7.414848802,-6.284657043,47.16396025,51486.5755,2.501595119,5.225359917,0.768673122,52.44102241,,1.998379814,5.904991615,61.36999893,82520,81.69268293,6660,0.744858294,123.5352681,2.9,,3620,0.043672455,0,100,99.97281495,0.810349006,0.664060393,17,107.1318589,0.487071925,50.82942665,49.17057335,8840521,2.5,99.81300354,41.703,83879,25.42625335,28.39798166,28.39798166,11.96,74980,107.8816768,4.849999905,58.297,0.835905515
Aruba,ABW,100,11.11111111,11.11111111,,2,11.652,149,,13,105.061406,-0.460233174,,9.053,,,,,,73.79939714,1.896,,24,41.64637061,27.72927878,4.244633596,2.333333333,30253.27936,,,,74.62640531,,3.626041414,17.35789392,,180,76.152,,,,,,,,,,,,1.15297067,2,588.0333333,0.459265888,52.53103566,47.46896434,105846,,,56.589,180,,0.141163456,18.91757626,,,148.4258025,,43.411,0.731739884
Argentina,ARG,99.98957825,54.36055965,14.323873,0.527253836,52,17.021,838209,3.987234198,14,,-5.160554041,9.66646481,7.609,58.18388,3.910000086,0.100000001,21.90999985,77.98999786,14.43668575,2.261,19.10152239,42,54.45316876,6.86536217,2.232532213,10.52037315,11795.15939,-2.617396463,4.945519924,0.617366731,16.32585021,0.13,,15.06997195,59.59999847,2736690,76.52,117850,0.745498855,132.0931513,8.6,20180000.08,47930,1.415096782,,,,0.390252458,0.099546846,70,16.2585101,1.015808349,51.23734845,48.76265155,44494502,3.5,98.70625305,8.13,2780400,9.992390084,7.40512875,8.808251416,9.65,365650,30.76253595,9.220000267,91.87,1.147602159
Angola,AGO,45.29000092,45.68259405,3.930376193,0.924175142,32,40.729,442255,0.887380364,6,323.6076093,7.30376966,2.54010224,8.19,41.20205,5.260000229,50.90999985,6.989999771,42.11000061,40.83628989,5.519,0.355604536,53,0.339628127,20.43647083,-6.369877273,54.31740595,3289.643995,-2.003629727,2.044699907,0.360190958,25.54182093,0.84,19.62860772,2.943521971,77.25099945,1246700,60.782,35520,1.871775866,43.13051888,51.7,103450001.8,16440,26.2315111,18.67839043,56.59174872,51.12074396,0.252667041,0.001558162,34,24.71307211,3.276144588,50.53046293,49.46953707,30809787,15.5,,34.486,1246700,9.644778459,5.004710827,6.971426696,6.94,79730,66.37811082,7.421000004,65.514,4.311803148
American Samoa,ASM,,24.5,15,,8,,3019,,,,,,,,,,,,68.23161189,,,12,,,,85.95,11521.60978,2.671118531,,,103.599374,,,,,200,,,,,,,,0,0.700868298,99.77377166,54.45476038,9.5,,1,277.305,-0.280883888,,,55461,,,12.847,200,,8.71956554,15.84774473,,,171.8309859,,87.153,-0.299534397
Albania,ALB,100,42.84967153,22.31189781,0.643149316,8,11.78,8648.299805,1.939731563,9,117.3927402,-6.704918013,5.23207188,7.898,66.99561,3.289999962,37.29000092,19.75,42.97000122,31.57192721,1.617,12.55565885,44,9.074720399,14.04358733,7.946351351,28.7919708,5287.663694,4.019359686,,0.628666282,45.23619092,0.04,2.028059631,25.53146747,59.29999924,27400,78.458,3160,1.16126613,94.17699827,8.5,361069995.6,1100,1.545188075,0,94.43639147,98.97364391,3.089562044,9.621064021,4,104.6122628,-0.246732042,49.0630946,50.9369054,2866376,4,101.5378571,39.681,28750,18.54595166,13.52568255,17.73609531,7.17,10080,76.80811813,12.30000019,60.319,1.317162104
Barbados,BRB,100,23.25581395,16.27906977,0.405006141,4,10.648,1732,4.360870779,11,128.8096071,,6.56259155,9.004,57.6745,0.810000002,2.700000048,19.17000008,78.12999725,41.28759855,1.619,31.16790689,29,32.78131773,22.60764541,4.749759164,14.65116279,17745.25537,-0.580333154,5.428860188,,39.70530129,,3.673814104,,63.56999969,430,79.081,2350,,114.8914496,12.1,,50,0.294328608,0.82469386,98.504449,97.2834998,2.325581395,2.129503397,3,666.6046512,0.143488326,51.67283003,48.32716997,286640,4.2,88.74687195,68.853,430,,0.008873615,1.270108194,9.69,3790,80.99289983,8.319999695,31.147,0.105342204
Belgium,BEL,100,44.71598415,28.07133421,0.613294591,8,10.4,23005,8.179711061,12,115.4516256,-0.783863132,10.76469994,9.7,74.74503,3.789999962,0.99000001,21.05999947,77.94000244,83.03586684,1.62,39.21686286,13,10.90146137,9.711069031,-7.65753616,22.76420079,47542.76952,1.819203664,6.376639843,0.762759745,83.27730793,,2.053164999,4.596352546,54.18999863,30280,81.59512195,8200,0.890644486,99.69668646,3.4,,4460,0,0,99.99999814,99.48614999,0.792602378,2.291398778,0,377.3795905,0.455184695,50.59331939,49.40668061,11427054,2.5,,1.999,30530,24.00759604,24.64917303,23.29334293,11.08,108750,166.3131748,5.949999809,98.001,0.496003003
Benin,BEN,39.24691772,35.03015254,24.83150053,0.258942828,12,36.221,54959,0.688722324,6,111.5061885,-4.549195689,2.50416446,8.871,51.71272,1.330000043,39.08000183,18.28000069,42.63999939,27.27423062,4.836,0.235384383,40,37.25504594,46.98260514,1.360735835,28.69058177,1241.825298,6.697259461,2.933969975,0.396950334,34.52096387,0.28,0.644803622,1.627874073,71.57099915,112760,61.47,5530,0.63285754,82.38429039,59.3,357769999.8,2930,0.130536389,53.10262299,65.17792394,16.07343638,5.321035828,1.393470232,20,101.8538045,2.734856203,50.0982017,49.9017983,11485035,7.3,,52.688,114760,,23.47190856,29.6233712,2.81,17380,61.79519449,1.470000029,47.312,3.891332178
