,,per.access.to.electricity,per.ag.land,per.arable.land,per.armed.forces.of.pop,tot.threatened.birds,birth.rate.per1000,fisheries.production,co2.emissions.metric.tons,compulsory.edu.years,cpi,current.account.balance,per.health.expenditures.gdp,death.rate.per1000,ease.of.doing.business.score,tot.employers.per.employment,per.employed.ag,per.employed.industry,per.employed.service,exports.per.gdp,fertility.rate.per.woman,broadband.per100,fish.threatened,food.exports.per.all.exports,food.imports.per.all.imports,fdi.per.gdp,forest.per.all.land,gdp.per.capita,gdp.growth,edu.expend.per.gdp,human.capital.index,imports.per.gdp,hiv.per1000,inflation.percentage,tourism.per.all.imports,labor.force.participation.per.tot.pop,land.area.sq.km,life.expectancy.years,methane.emissions.kt,expend.military.per.gdp,cellular.subscriptions.per100,infant.mortality.rate.per1000,aid.usd,no2.emissions.metric.tons,oil.rents.per.gdp,per.open.defecation,per.access.drinking.water,per.basic.sanitation,cropland.per.all.land.area,remittances.per.gdp,plants.threatened,population.density,population.growth,female.pop.per.total,male.pop.per.total,pop.total,per.undernourishment,per.primary.edu.completion,per.rural.pop,tot.surface.area.km2,tax.revenue.per.gdp,protected.area.per.total.terrestrial.area,terrrestrial.protected.area.per.total.land,alcohol.percap.liters,tot.greenhouse.gas.emissions.kt,trade.per.gdp,unemployment.rate,per.urban.pop,urban.pop.growth
Bulgaria,BGR,100,46.33382461,32.0375829,1.11327573,17,8.9,8599,5.854773434,11,110.9740586,0.84287395,7.3434248,15.4,71.80724,3.720000029,6.579999924,30.11000061,63.31000137,65.69596643,1.56,27.0001679,22,14.68840431,9.756663714,2.727195092,35.62085483,9446.700772,2.684576131,,0.670277238,63.155915,,2.814544738,5.361579736,55.31999969,108560,74.96341463,6910,1.451568367,118.9396801,5.8,,4050,0.022683366,0,99.08322437,86.01421235,1.40935888,3.628851423,9,64.71109985,-0.722080405,51.41408841,48.58591159,7025037,2.8,86.6185379,24.992,111000,20.13287125,28.29699048,34.70358012,12.65,53330,128.8518814,5.210000038,75.008,-0.269102082
Burkina Faso,BFA,14.39999962,44.2251462,21.92982456,0.15733444,12,37.93,27299,0.216186485,10,111.9797647,-4.18372523,4.90988731,8.124,51.26807,0.689999998,27.07999992,25.25,47.66999817,28.07890614,5.189,0.069959364,4,14.54329575,12.35416068,1.689199557,23.08625731,804.5005378,6.604569068,5.430560112,0.378283978,32.51671948,0.11,1.955943027,3.69658719,65.46700287,273600,61.174,15600,2.165041746,97.91227142,55.4,632300007.1,9850,0,42.9658249,48.36939374,20.99241949,0.365497076,2.867515593,4,72.1910307,2.866979114,50.09548152,49.90451848,19751466,12.7,65.47892761,70.642,274220,15.29241208,14.92288055,14.92288055,12.03,30850,60.59562562,4.690000057,29.358,4.984051438
Burundi,BDI,10.88490868,79.16666667,46.72897196,1.061718166,15,39.008,20310,0.05279463,,183.3716857,-13.58985469,8.2447691,7.929,46.47561,1.24000001,86.25,3.410000086,10.34000015,9.401038141,5.41,0.03521135,17,55.00033223,16.74573428,0.036865231,10.8894081,238.783467,1.609933082,5.078649998,0.389574796,29.80900492,0.18,-2.814698077,,78.94799805,25680,61.247,2140,1.882161447,56.53470747,41.3,265070001.3,2360,0,2.60776079,61.46062113,45.78603939,13.62928349,1.811081464,89,435.17831,3.166911697,50.42199464,49.57800536,11175379,,63.02138901,86.968,27830,,7.591471706,7.591471706,7.19,5520,39.21004306,1.587000012,13.032,5.700231723
Cabo Verde,CPV,90.41175079,19.60297767,12.40694789,0.559028781,7,19.49,26586,1.140200528,10,109.2911963,-5.133005414,5.26637983,5.625,54.00831,4.369999886,11.84000015,21.87999916,66.27999878,48.95264437,2.274,2.879358255,35,83.45655857,30.1994885,5.730761339,11.19602978,3616.464537,4.531161684,5.368850231,,67.9984228,,1.256151859,8.37575176,55.42699814,4030,72.782,120,0.542008419,112.2407207,13.6,64269999.78,70,0,17.90923329,87.64702962,75.81517832,0.992555831,11.92509955,51,134.9290323,1.158842966,49.81903914,50.18096086,543764,16.2,87.29020691,34.268,4030,,0.015591705,2.895240389,5.6,830,116.9510672,12.17000008,65.732,1.878045155
Cambodia,KHM,81.07565308,31.53183775,22.15612962,2.10496618,31,22.464,692274,0.686777895,,127.6337468,-11.78412634,6.18275642,5.997,53.7971,0.109999999,36.38000107,27.02000046,36.59999847,61.59572751,2.503,1.022782322,48,5.154066325,7.411863932,13.07449807,47.47195785,1512.126989,7.469169207,2.162859917,0.490684867,63.30288532,0.07,2.459085154,4.939914556,81.29100037,176520,69.57,20310,2.224852375,119.4915172,23.8,635789995,5160,0,25.5106074,70.25363342,62.45973544,0.878087469,5.825000736,37,92.05639588,1.490343156,51.19798127,48.80201873,16249795,6.8,87.9994812,76.612,181040,17.05208455,20.64949541,26.0277161,6.64,37460,124.8986128,0.143000007,23.388,3.250224428
Cameroon,CMR,62.20000076,20.62575363,13.11586385,0.312733328,29,35.386,281945,0.341842908,6,115.8080461,-3.525641561,3.46510625,9.266,46.00492,3.109999895,44.16999817,14.42000008,41.40999985,18.73625347,4.572,1.569673259,122,19.61615666,20.03918655,1.913981821,43.26644243,1585.240534,3.95551424,3.131200075,0.39332068,21.85134941,0.74,1.074299452,10.8637484,76.03800201,472710,58.921,14960,1.11159531,73.19019901,51.3,717440014.6,62710,3.120622428,5.773696319,65.04524303,43.80832359,3.278965962,0.834431984,555,53.34403969,2.612284161,50.00348783,49.99651217,25216261,5.6,64.47068024,43.626,475440,12.34694571,10.38214511,10.60054641,5.65,89050,40.58760288,3.617000103,56.374,3.676929463
Canada,CAN,100,6.491374243,4.315053443,0.35496032,24,10.1,898781,15.49706457,10,114.5248998,-2.385071611,10.80637455,7.7,79.6798,4.630000114,1.49000001,19.56999969,78.94000244,32.28018242,1.5,38.96365923,44,11.92683044,7.934451821,2.469312073,38.70376294,46548.63841,2.777040554,,0.800089955,34.16753441,,2.268225672,,65.41000366,8965590,82.04878049,93980,1.324681094,89.57894095,4.5,,43120,1.780506536,0,99.22363119,99.08828896,0.018961385,0.075091016,18,4.134148896,1.412455869,50.39152995,49.60847005,37065084,2.5,,18.589,9879750,13.06197868,6.477193623,9.685573936,8.94,724930,66.44771684,5.829999924,81.411,1.487415579
Cayman Islands,CYM,100,11.25,0.833333333,,3,9.9,125,,12,,-16.79533704,,3.3,,,,,,71.6883356,,,31,,,3.144239024,53.375,86059.73922,4.19434091,,,45.5931817,,,11.27971321,,240,,,,,,,,0,,,,2.083333333,0.258143205,22,267.3833333,1.238706903,,,64172,,89.55223846,0,264,,0.103453166,10.76276984,,,117.2815173,,100,1.238706903
Central African Republic,CAF,14.84237576,8.154354875,2.889338342,0.544094431,16,35.348,29000,0.070718706,10,147.8156821,,10.99530983,12.289,34.83372,0.860000014,70.30000305,6.300000191,23.39999962,18.88362441,4.721,0.013029405,3,0.208240815,20.56084195,0.810612601,35.89681852,475.9538139,3.789443593,1.565879941,,46.98002245,,1.61215687,,71.76499939,622980,52.805,23200,1.43304054,27.41449024,81.6,407820002.7,32110,0,25.02799677,39.22754832,14.84783556,0.128415037,0,26,7.490409002,1.519117467,50.43647371,49.56352629,4666375,46.7,,58.636,622980,8.63983072,18.06482422,18.06482422,2.38,55680,65.86364686,5.605000019,41.364,2.451790494
Chad,TCD,10.11404037,39.89675985,4.129606099,0.670022148,16,42.172,107000,0.069131598,10,118.8533874,,4.1669445,12.104,36.66065,0.340000004,75.38999939,1.909999967,22.70000076,36.19068245,5.747,0.002157939,1,,,4.100753246,3.601493011,726.1510071,2.3740378,2.25948,0.299028993,38.01407128,0.3,4.274621986,,59.90999985,1259200,53.977,53990,2.339468546,45.12373876,70.7,478220004.6,24920,20.55309964,64.95161324,45.46056009,11.58993917,0.030177891,0,6,12.29171458,3.023504548,50.08489942,49.91510058,15477727,30.4,40.56021881,76.941,1284000,,20.3544358,20.3544358,1.37,80680,74.20475373,1.129999995,23.059,3.899007628
Channel Islands,CHI,100,46.56565657,19.29292929,,,9.861,,,,,,,7.814,,4.519999981,2.700000048,25.14999962,72.15000153,,1.51,,,,,,5.151515152,,,,,,,,,59.9109993,198,82.928,,,,,,,,,,,,,,861.0909091,1.0791408,50.52904467,49.47095533,170496,,,69.086,198,,,,,,,6.573999882,30.914,1.07966866
Chile,CHL,100,21.1060183,1.631402549,1.358742787,35,12.428,2369456,4.624872245,12,128.6239518,-3.911806387,9.15850449,6.163,72.32025,4.269999981,9.220000267,22.32999992,68.45999908,28.50718355,1.649,17.35736146,27,24.22970129,9.565770619,2.607656422,24.16152903,15888.14436,3.713859177,5.433169842,0.665265143,28.81443921,0.27,2.434889814,3.670676311,59.84000015,743532,80.042,13480,1.859638618,134.4373213,6.2,,6410,0.015058464,0,99.99999739,99.99999739,0.625393393,0.023475637,73,25.18945519,1.391064233,50.72703184,49.27296816,18729166,3,96.24210358,12.436,756700,18.26143699,27.03923858,18.49445424,9.07,109590,57.32162276,7.230000019,87.564,1.475607499
China,CHN,100,56.07908341,12.6782458,0.33709408,96,10.86,14831310,7.352262682,9,121.5588779,0.173668413,5.16790485,7.08,73.30366,2.099999905,26.06999969,28.31999969,45.61000061,19.11210354,1.69,28.53518942,136,2.900889532,6.184931751,1.693905294,22.94173538,9905.342004,6.749773832,3.542490005,0.647098839,18.45368057,,2.0747904,,69.40000153,9424702.9,76.704,1238630,1.739533683,115.5258122,6.4,-199920008.4,538790,0.434241039,0.447021569,93.33588436,89.29564155,1.7195237,0.174925688,593,148.838644,0.467672053,48.67937396,51.32062604,1402760000,2.5,,40.848,9600012.9,9.052685732,14.58764165,15.44904196,7.05,12355240,37.5657841,4.28000021,59.152,2.503400504
Colombia,COL,98.5,44.60748085,5.426768815,1.841899422,126,14.882,148195,1.600650618,12,136.1504014,-4.20138349,7.62541389,5.562,69.24335,4.159999847,16.70999908,19.98999977,63.29999924,15.89971968,1.807,13.44825224,99,13.67001311,12.54062207,3.380835767,53.66424516,6729.583332,2.564324283,4.449100018,0.598653853,20.63503312,0.19,3.240234138,8.60451441,68.38999939,1109500,77.109,76700,3.062105511,129.9086097,12.1,1723120015,21720,3.879382374,3.075688284,97.13676529,91.82623874,3.488958991,1.997341398,268,44.75985219,1.524235944,50.9257717,49.0742283,49661056,7.9,106.7693863,19.222,1141750,14.79105096,15.68852127,14.80695582,5.74,184100,36.5347528,9.109999657,80.778,1.936086603
Comoros,COM,81.85890961,70.39226222,35.46480387,,14,31.881,13089,0.312379103,6,,-2.832249826,4.90244007,7.214,47.01396,0.860000014,34.99000168,18.93000031,46.09000015,12.90902299,4.205,0.183943234,11,63.81166979,38.32208824,0.477150042,18.16227834,1428.290463,3.642525019,,0.400950134,30.08713035,0.01,,13.49646428,44.23099899,1861,64.118,270,,59.94110452,50.1,37630000.14,50,0,0.591386004,80.187987,35.88046261,26.86727566,14.52057215,9,447.2444922,2.239416344,49.55870444,50.44129556,832322,,,71.035,1861,,0.125684891,10.15143427,0.69,590,42.99615334,8.079000473,28.965,2.866282824
"Congo, Dem. Rep.",COD,18.56829071,13.89470898,5.205002095,0.449529912,42,41.183,238000,0.026169263,6,,-3.547112001,3.30249262,9.482,35.23313,2.150000095,64.80999756,9.739999771,25.45000076,34.11010433,5.919,0.005495545,94,0.398113187,8.551387098,2.985541619,56.61894974,560.8073582,5.8211211,,0.364528745,37.70060707,0.25,,0.646996732,65.98799896,2267050,60.368,38620,0.623912515,43.38221502,67.3,1573050017,15790,0.934202287,11.91366752,44.64476808,16.16946438,0.661652809,3.866088318,148,37.0825928,3.226698861,50.09774339,49.90225661,84068092,40.4,,55.54,2344860,,13.75675622,13.83326047,2,58700,71.8107114,4.451000214,44.46,4.539827198
"Congo, Rep.",COG,47.41667557,31.12152269,1.610541728,0.578677192,7,32.862,98650,0.613992586,10,122.0480274,,1.93649173,6.705,38.22684,1.080000043,33.74000168,21.80999947,44.45999908,71.02956895,4.428,,57,0.212165484,15.51541827,31.56722194,64.35139092,2606.615331,-4.805351557,3.001470089,0.417835534,49.00619337,1.9,1.152778964,,67.89800262,341500,64.29,3540,2.50811728,95.34053637,34.7,91600000.8,2010,42.77981507,8.646986938,73.40681542,20.26857109,0.2284041,,46,15.35684627,2.581720867,50.06560377,49.93439623,5244363,36.8,,33.084,342000,7.750240556,36.83827952,40.73803678,9.27,9370,120.0357623,20.61400032,66.916,3.267004414
Costa Rica,CRI,99.69999695,34.90990991,4.945162554,0.422111732,27,13.971,13673,1.652184053,13,126.2005219,-2.991531121,7.29572248,5.078,68.83187,4.099999905,12.39999962,19.67000008,67.93000031,33.73851078,1.754,16.69754679,64,41.09451554,12.91668245,4.829438713,58.79612221,12485.4239,2.615904404,6.779069901,0.603258789,33.20683124,0.28,2.221114615,5.826260624,60.22999954,51060,80.095,4820,0,169.9306983,7.4,84510001.32,1940,0,0.18081291,99.78441783,97.58654255,6.462984724,0.854707228,143,97.91310223,0.99480206,50.0098511,49.9901489,4999443,3,98.59436798,20.66,51100,13.18214869,3.035389593,27.60269532,4.87,15810,66.94534202,9.630000114,79.34,1.982766191
Cote d'Ivoire,CIV,67.14739227,66.66666667,11.00628931,0.331228235,25,35.74,105529,0.395305384,10,112.8561412,-3.938017166,3.11891103,10.053,58.34417,1.659999967,41.00999832,12.72999954,46.25999832,22.64068269,4.649,0.701728773,59,56.52229148,21.05094516,1.069324208,9.630440252,2314.050958,6.89028432,3.239939928,0.369968355,23.42680369,0.36,0.359409031,4.740925789,56.00099945,318000,57.422,6560,1.413435448,134.8579514,61.3,609290013.9,3030,1.116157297,26.15262062,70.97608502,33.05107549,14.1509434,0.572381204,118,78.83404403,2.552322341,49.51911958,50.48088042,25069226,14.9,74.60257721,49.221,322460,11.76875524,14.89154711,22.88466348,2.71,22900,46.06748638,3.292999983,50.779,3.448421633
Croatia,HRV,100,26.22371444,14.20745715,1.017388398,14,9,70557.33594,4.055928762,8,108.9745884,1.659258473,6.78430557,12.9,72.95462,4.71999979,6.239999771,27.42000008,66.33999634,49.51035578,1.47,27.14540571,64,13.82103046,12.38168224,2.119579982,34.17759321,15227.5601,2.900009599,,0.729365647,50.34200625,0.02,1.50012501,5.556149756,51.18999863,56590,78.07073171,3820,1.574563806,105.5834549,4,,1790,0.334283902,0,,96.54691297,1.272309595,6.448423757,8,72.23613713,-0.893486928,51.85262175,48.14737825,4087843,2.5,94.84780884,43.053,88070,21.52844209,23.58172659,38.25363021,9.23,22550,99.85236203,8.430000305,56.947,-0.400587698
Cuba,CUB,99.52120972,60.69364162,28.02119461,1.424614375,19,10.166,22621,2.202300094,9,,,11.18745422,8.988,,5.579999924,17.69000053,17.12000084,65.19000244,14.52273863,1.618,0.871730745,44,,,,31.23314066,8824.194008,2.248480393,,,12.56071964,0.18,,,56.15499878,103800,78.726,12690,2.876207372,47.39153727,4.3,280689996.2,3620,0.688508777,0.381800186,96.54950123,90.93165485,6.290944123,,179,109.2306936,-0.009780662,50.33284983,49.66715017,11338146,2.5,84.13140869,22.963,109880,,7.184622808,16.55323247,5.83,41860,27.08345827,1.700000048,77.037,0.068143353
Curacao,CUW,100,,,,2,10.5,37910,,14,112.5810919,-25.98335531,,8.8,,,,,,,1.7,31.84968541,28,,,4.057823793,0.157657658,19630.89349,-2.166131078,,,,,2.583687566,16.46535973,,444,,,,114.5239383,,,,,,,,,4.966212832,2,358.8648649,-0.525178744,54.09546982,45.90453018,159336,,,10.855,444,,0.258715834,15.4623807,,,,,89.145,-0.590340791
Cyprus,CYP,100,14.17175325,11.25595238,2.591021786,7,10.462,1490,6.079400502,10,102.2549751,-3.823141497,6.77018547,7.022,72.77735,2.170000076,2.170000076,16.65999985,81.16999817,75.07380186,1.329,35.78741866,24,23.76461122,12.94007282,-4.350091922,18.67640693,29334.11093,5.692841724,,0.754617035,73.77337514,,1.435491195,8.354910222,62.40000153,9240,80.828,740,1.780485709,137.0450965,2.3,,370,0,0,99.76518389,99.39585892,2.743506494,2.042074836,22,128.7080087,0.808549298,49.9710745,50.0289255,1189262,2.5,101.8767014,33.19,9250,24.11579117,1.68708522,18.6504409,10.81,8600,148.847177,8.369999886,66.81,0.769681627
Czech Republic,CZE,100,45.63471503,32.1761658,0.409359491,9,10.7,3650,9.640704998,9,113.2503136,0.506001826,7.52479792,10.6,76.322,3.130000114,2.799999952,37.5,59.70000076,76.95916475,1.71,30.21688169,2,4.123912368,5.419286004,3.343910398,34.63044041,23419.73561,3.198656101,4.26692009,0.764516711,71.01933299,,2.149494949,3.43600441,60.56000137,77200,79.02926829,12430,1.08885095,119.1135078,2.5,,5170,0.013399611,0,99.8803606,99.13391769,0.634715026,1.581035941,26,137.6933679,0.334427262,50.80858893,49.19141107,10629928,2.5,98.54006195,26.208,78870,14.83640854,22.155676,22.155676,14.45,122840,147.9784977,2.24000001,73.792,0.493103393
Denmark,DNK,100,65.8,59.8,0.48460105,9,10.6,789284,5.761494164,10,109.5170074,7.21946482,10.0707159,9.5,85.17028,3.210000038,2.190000057,18.90999985,78.90000153,56.55980449,1.73,44.0863778,18,17.9220348,13.53672468,2.456000967,15.664,61591.92887,1.989537315,,0.770831823,50.41519194,0.03,0.813609467,5.826973316,61.81999969,40000,80.95365854,7140,1.277402227,125.4530064,3.3,,4740,0.487574099,0,99.99999788,99.59722729,0.7,0.396618155,1,144.8409,0.495838926,50.27420273,49.72579727,5793636,2.5,101.0366287,12.126,42920,32.17781793,17.92764183,18.10202119,10.26,45870,106.9749964,5.130000114,87.874,0.629088603
Djibouti,DJI,60.5641861,73.4253667,0.086281277,6.191679671,12,21.466,2102,0.510989933,10,116.3877187,14.22669996,2.26254249,7.102,58.38141,0.850000024,25.46999931,13.42000008,61.11000061,149.1784929,2.728,2.660067597,23,,,5.642585134,0.243313201,3141.861711,8.407662666,3.627739906,,139.0382049,0.15,0.14797085,,32.16600037,23180,66.582,690,,41.19590415,50.1,99729999.56,270,0,16.50015919,75.9368505,65.33030773,,1.986783007,3,41.36855047,1.557868695,47.36678545,52.63321455,958923,16,66.38028717,22.223,23200,,1.232094286,1.574645925,0.43,1480,288.2166978,26.18899918,77.777,1.723894995
Dominica,DMA,100,33.33333333,8,,7,,762,2.513053919,12,103.8696284,-43.98976449,6.47454262,,60.54557,,,,,29.41318912,,16.07539267,31,,,14.21721988,63.82666667,7687.462963,2.214305241,5.571549892,0.551737249,78.35310894,,0.989191119,6.663856496,,750,,50,,107.2530541,30.6,25639999.54,20,0,,,,22.66666667,7.653417656,12,95.50133333,0.232028395,,,71626,5.5,,29.517,750,,0.6733322,21.98682446,11.18,240,107.7662981,,70.483,0.661800001
Dominican Republic,DOM,98.90000153,50.27944525,18.15359139,1.455661931,17,19.506,13542,2.363757648,15,129.8216787,-1.544613594,5.73288918,6.15,59.32073,3.269999981,9.329999924,19.59000015,71.08000183,23.55143131,2.346,8.098377541,29,23.22470012,14.6090861,3.207863799,44.0471952,8050.644076,6.982527585,3.928489923,0.506880283,28.50453508,0.33,3.56443426,4.171781176,63.77000046,48310,73.892,9200,0.69399111,84.10208352,28.6,70469998.18,3390,0,2.461157077,96.54280852,86.26797816,7.348375078,7.968756794,47,219.9782033,1.078862009,50.00779607,49.99220393,10627147,6.7,93.1275177,18.926,48670,13.02493499,19.21573704,26.23675188,6.68,39060,52.05596639,5.860000134,81.074,2.066777942
Ecuador,ECU,98.69999695,21.9358995,3.897568046,0.503268684,106,19.719,598807,2.3138123,15,123.8133158,-1.216146685,7.86490965,5.109,57.6141,3,28.82999992,18.53000069,52.65000153,22.60468399,2.427,11.43506241,61,46.41491048,10.10550541,1.290843104,50.83898373,6295.934662,1.289291933,4.621459961,0.59621954,23.75744696,0.14,-0.224103246,5.792091558,66.66000366,248360,76.8,20350,2.351887153,92.32327021,12,400439996,4950,7.169529402,1.845451126,94.66226374,89.66716322,5.580608794,2.825420021,1859,68.78868981,1.765652695,49.97062518,50.02937482,17084359,11.2,104.4336777,36.179,256370,,14.95513971,21.68611893,4.2,65680,46.36213095,3.529999971,63.821,2.002536043
"Egypt, Arab Rep.",EGY,100,3.853502235,2.924274248,2.957956132,14,26.379,373286,2.502042142,12,264.3750554,-3.082805503,4.947577,5.817,58.51399,12.35000038,21.65999985,26.87000084,51.47000122,18.91197548,3.326,6.730521069,58,15.79358659,18.32836751,3.260262789,0.045185594,2537.125185,5.314121037,,0.492512345,29.36629558,0.03,14.40146578,3.795456719,43.34999847,995450,71.825,56870,1.249966196,95.28659682,17.8,799580008.5,22320,5.570275927,0,99.32633211,96.71394067,0.929227987,10.2180103,8,98.87347632,2.033272399,49.46997164,50.53002836,98423602,5.1,100.6852112,57.296,1001450,,11.55079702,13.13605538,0.36,329220,48.27827106,9.819999695,42.704,2.030930875
El Salvador,SLV,97,71.38610039,30.26061776,1.527477292,7,18.253,53697,1.060625411,15,111.1446336,-3.301793065,7.09307051,7.04,64.92118,4.550000191,16.70999908,22.20000076,61.09000015,28.93437378,2.039,7.666788252,17,17.6067855,16.95738893,1.586204787,28.61389961,4052.624775,2.432287587,3.605750084,0.544985712,46.69924311,0.16,1.090330006,3.976212168,58.06999969,20720,73.096,3990,1.128021932,146.9221022,11.9,252299994.7,1200,0,0.893697725,97.58628003,82.78125746,10.95559846,20.72084003,33,309.8812741,0.50927343,53.11400244,46.88599756,6420740,8.6,86.60769653,27.977,21040,18.12892354,2.151679258,8.776286672,3.89,12350,75.63361689,4.010000229,72.023,1.553278857
Equatorial Guinea,GNQ,66.45285797,10.12477718,4.278074866,0.315639387,6,33.241,6410,5.095625096,6,122.8252877,,3.06170225,9.323,40.53653,9,39.15000153,20.36000061,40.49000168,59.61453443,4.513,0.123760958,44,,,3.024184251,87.88377897,10005.61679,-6.236550982,,,44.03114668,,1.349884388,,55.81000137,28050,58.402,12230,1.072141334,45.16686721,61.7,6079999.961,40,22.66219317,,,,2.139037433,0,98,46.66545455,3.653340932,44.45585294,55.54414706,1308966,,,27.857,28050,6.168908879,1.765312041,19.26675895,7.23,19270,103.6456811,8.623999596,72.143,4.34462608
Eritrea,ERI,49.7033844,75.16831683,6.831683168,12.56934948,21,30.302,4300,0.231696216,8,,,4.12821102,7.163,21.50372,1.25999999,63.75999832,7.320000172,28.92000008,,4.056,,29,,,,10.51069307,,,,,,0.08,,,79.93699646,101000,65.941,3730,,,31.3,25050000.17,2900,,,,,0.01980198,,6,34.18610891,,,,,,60.27051163,,117600,,2.958340929,4.872390939,1.44,7480,,5.947000027,,
Estonia,EST,100,23.09638831,15.82700713,0.949732232,9,10.9,87462,12.103085,9,119.4227472,0.810854488,6.68642807,11.9,80.79339,4.489999771,3.289999962,29.64999962,67.05999756,74.469197,1.67,33.34842621,5,8.945479916,10.02994204,4.042502688,56.09385783,23063.56382,4.133819798,5.238870144,0.774125278,71.87136054,0.17,3.436326884,7.524011957,63.79999924,43470,78.24390244,1050,2.008665863,145.4384241,1.9,,1350,0.354408456,0,99.5725742,99.14296842,0.092017483,1.870822611,0,30.41124914,0.348039138,52.85842682,47.14157318,1321977,2.5,96.69463348,31.12,45340,21.05216597,19.50809905,20.21847482,9.23,18610,146.3405575,5.369999886,68.88,0.58496349
Eswatini,SWZ,73.91577911,71.04651163,10.1744186,,13,26.342,65,0.959275668,7,162.5975556,1.301741373,7.2573719,9.376,58.71977,2.230000019,12.5,23.72999954,63.77000046,40.4420426,2.99,,5,25.97650584,18.8200189,0.667267364,28.7872093,4105.893683,2.371610521,5.679160118,0.3695409,44.32684041,6.76,4.815061675,2.080399618,50.98500061,17200,59.401,1500,2.03576227,,39.4,80299999.67,440,0,4.848644623,69.65441173,63.40990744,0.872093023,2.695091025,13,66.06244186,1.014213397,51.14893063,48.85106937,1136274,11.9,94.48487091,76.201,17360,,4.233008206,4.233008206,10.04,3120,84.76888301,22.79199982,23.799,1.748036706
Ethiopia,ETH,44.94060135,33.56325769,14.33365307,0.264177011,35,32.339,57166,0.149050931,8,275.3957888,-5.47208898,3.30818701,6.551,47.0561,0.449999988,67.29000092,9.220000267,23.47999954,8.372675866,4.247,,14,88.51556926,15.05519866,3.987712538,15.24350842,771.5248663,6.816147797,5.06867981,0.384100586,22.82669908,0.15,13.83076218,3.074432351,80.76399994,1129300.39,66.24,103110,0.63901528,,38,2332720002,52160,0,22.77022398,46.63848073,8.350931686,1.519524845,0.517774816,64,96.71865074,2.619969171,49.97888842,50.02111158,109224410,14.4,,79.237,1136259.41,7.519920423,18.47496031,18.47496031,2.36,172230,31.19937494,2.318000078,20.763,4.825886034
Faroe Islands,FRO,100,2.148997135,2.148997135,,6,13.4,660936,,9,,,,7.7,,,,,,53.39267179,2.5,37.48891684,13,,,,0.05730659,62918.14619,,,,51.64988582,,,,,1396,82.54390244,,,117.1041508,,,,0,,100,,,0,0,34.73997135,0.353222226,,,48497,,,57.936,1396,,0.023371679,2.329093284,,,105.0425576,,42.064,0.71332242
Fiji,FJI,99.37250519,23.26217843,9.031198686,1.130556939,14,21.277,43672,2.150561976,,129.9923489,-8.41365454,3.42045617,8.208,61.38188,1.059999943,17.97999954,14.22999954,67.79000092,47.91308925,2.774,2.161558287,20,57.88061085,16.32311153,8.400461673,61.66721401,6317.41372,3.81235097,4.835710049,,55.52371513,0.14,4.081476376,5.172933036,57.38199997,18270,67.341,670,1.467606861,114.8861948,22.1,96569999.73,170,0,0,94.25716533,98.79865447,4.652435687,5.230683113,78,48.35741653,0.684860282,49.30050142,50.69949858,883490,5.8,,43.752,18270,23.99335343,0.99036935,5.411196875,3.32,2820,103.4368044,4.333000183,56.248,1.588376485
Finland,FIN,100,7.475651487,7.383521979,0.916656967,11,8.6,184299,8.04275205,10,111.1929914,-1.871037302,9.03608513,9.9,80.04165,3.579999924,3.710000038,22.34000015,73.94999695,38.46779858,1.41,31.45271337,6,2.327308111,7.536197065,-3.83428376,73.73321927,49988.91085,1.141947509,6.269299984,0.814484,39.72236024,,1.083820984,6.599761278,59.43999863,303920,81.73414634,4240,1.362212408,129.4685668,1.9,,4670,0,0,99.99999668,99.44792736,0.009871019,0.305044368,2,18.14795012,0.132641041,50.72075849,49.27924151,5515525,2.5,100.3738098,14.618,338450,20.82383881,14.16031393,15.0232916,10.78,54490,78.19015882,7.360000134,85.382,0.199422968
France,FRA,100,52.34176533,33.10413345,0.995415959,16,11.3,611842.375,4.619241205,10,108.8423164,-0.873698958,11.18583012,9.1,76.77957,4.230000019,2.5,20.23999977,77.26999664,31.71366721,1.87,44.77576734,53,12.31209324,9.410743452,2.776578144,31.20442255,41592.7959,1.865066071,5.413169861,0.755960286,32.72428539,,1.850815083,6.238237932,55.61999893,547557,82.67560976,58340,1.845053399,108.357357,3.4,,38030,0.008395327,0,100,98.64921248,1.836886388,0.939795054,47,122.5478443,0.274451849,51.58424048,48.41575952,67101930,2.5,,19.556,549087,24.16881267,33.20749968,25.791966,12.33,423350,64.4379526,9.020000458,80.444,0.603171756
French Polynesia,PYF,100,12.92613636,0.710227273,,35,14.684,13025,,,,,,5.649,,1.379999995,7.039999962,16.55999947,76.40000153,,1.941,21.5320568,28,22.71909228,19.01521829,,42.46022727,,3.26774109,,,,,,,56.22299957,3520,77.462,,,109.0010408,,,,,0,100,97.06121635,6.534090909,,48,78.884375,0.565206884,49.32456523,50.67543477,277673,3.9,,38.166,4000,,0.005850397,1.953194598,,,,12.24800014,61.834,0.64565925
